species_id,common_name,scientific_name,family,origin,type,cycle,watering,watering_benchmark_days_min,watering_benchmark_days_max,sunlight,soil,growth_rate,maintenance,care_level,indoor,drought_tolerant,salt_tolerant,api_json
728,aloe,Aloe vera,Asphodelaceae,Mediterranean,Herb,Herbaceous Perennial,Minimum,7.0,10.0,full sun,Well-drained,High,Low,,True,True,True,"{""id"":728,""common_name"":""aloe"",""scientific_name"":[""Aloe vera""],""family"":""Asphodelaceae"",""origin"":[""Mediterranean""],""type"":""Herb"",""cycle"":""Herbaceous Perennial"",""watering"":""Minimum"",""watering_general_benchmark"":{""value"":""7-10"",""unit"":""days""},""sunlight"":[""full sun""],""soil"":[""Well-drained""],""growth_rate"":""High"",""maintenance"":""Low"",""drought_tolerant"":true,""salt_tolerant"":true,""indoor"":true,""care_level"":null}"
2961,Indian rubberplant,Ficus elastica,Moraceae,Southeastern Asia,Broadleaf evergreen,Perennial,Average,7.0,10.0,full sun; part sun/part shade,Humus rich; Well-drained,Moderate,Low,Medium,True,True,False,"{""id"":2961,""common_name"":""Indian rubberplant"",""scientific_name"":[""Ficus elastica""],""family"":""Moraceae"",""origin"":[""Southeastern Asia""],""type"":""Broadleaf evergreen"",""cycle"":""Perennial"",""watering"":""Average"",""watering_general_benchmark"":{""value"":""7-10"",""unit"":""days""},""sunlight"":[""full sun"",""part sun/part shade""],""soil"":[""Humus rich"",""Well-drained""],""growth_rate"":""Moderate"",""maintenance"":""Low"",""drought_tolerant"":true,""salt_tolerant"":false,""indoor"":true,""care_level"":""Medium""}"
1220,angelwing begonia,Begonia 'Sinbad',Begoniaceae,China,Begonia,Herbaceous Perennial,Frequent,3.0,4.0,part shade; part sun/part shade,,Low,Moderate,Medium,True,False,False,"{""id"":1220,""common_name"":""angelwing begonia"",""scientific_name"":[""Begonia 'Sinbad'""],""family"":""Begoniaceae"",""origin"":[""China""],""type"":""Begonia"",""cycle"":""Herbaceous Perennial"",""watering"":""Frequent"",""watering_general_benchmark"":{""value"":""3-4"",""unit"":""days""},""sunlight"":[""part shade"",""part sun/part shade""],""soil"":[],""growth_rate"":""Low"",""maintenance"":""Moderate"",""drought_tolerant"":false,""salt_tolerant"":false,""indoor"":true,""care_level"":""Medium""}"
